Date,Key,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential
2020-02-15,AE,0.0,4.0,5.0,0.0,2.0,1.0
2020-02-15,AF,-9.0,-10.0,0.0,-2.0,-28.0,5.0
2020-02-15,AG,-6.0,-1.0,-6.0,-1.0,0.0,3.0
2020-02-15,AO,3.0,-2.0,7.0,3.0,2.0,1.0
2020-02-15,AR,1.0,-3.0,-3.0,4.0,-1.0,0.0
2020-02-15,AR_B,-1.0,-2.0,0.0,4.0,0.0,0.0
2020-02-15,AR_L,-3.0,-2.0,4.0,-10.0,0.0,0.0
2020-02-15,AR_R,1.0,-1.0,-15.0,-13.0,3.0,1.0
2020-02-15,AR_T,9.0,4.0,-7.0,-21.0,1.0,1.0
2020-02-15,AR_W,-12.0,-11.0,-31.0,-6.0,-7.0,5.0
2020-02-15,AR_Y,-5.0,1.0,-2.0,-2.0,3.0,1.0
2020-02-15,AT,9.0,1.0,42.0,13.0,0.0,-2.0
2020-02-15,AU,4.0,3.0,-2.0,3.0,3.0,0.0
2020-02-15,AU_ACT,7.0,5.0,28.0,4.0,6.0,-1.0
2020-02-15,AU_NSW,4.0,5.0,1.0,10.0,3.0,-1.0
2020-02-15,AU_NT,7.0,8.0,10.0,-3.0,2.0,0.0
2020-02-15,AU_QLD,3.0,4.0,-8.0,-2.0,1.0,1.0
2020-02-15,AU_SA,6.0,2.0,5.0,4.0,2.0,0.0
2020-02-15,AU_TAS,2.0,-1.0,-14.0,-4.0,0.0,1.0
2020-02-15,AU_VIC,3.0,3.0,-22.0,1.0,3.0,1.0
2020-02-15,AU_WA,7.0,3.0,-1.0,12.0,2.0,0.0
2020-02-15,AW,2.0,3.0,12.0,26.0,-2.0,-2.0
2020-02-15,BA,8.0,6.0,16.0,3.0,1.0,-1.0
2020-02-15,BB,1.0,0.0,4.0,2.0,0.0,0.0
2020-02-15,BD,4.0,6.0,10.0,7.0,8.0,1.0
2020-02-15,BE,3.0,2.0,29.0,9.0,1.0,-1.0
2020-02-15,BF,3.0,1.0,2.0,0.0,6.0,-1.0
2020-02-15,BG,-1.0,0.0,-7.0,2.0,-1.0,0.0
2020-02-15,BH,-3.0,3.0,-11.0,-1.0,3.0,1.0
2020-02-15,BJ,4.0,4.0,-1.0,1.0,2.0,-1.0
2020-02-15,BO,6.0,4.0,-1.0,-6.0,8.0,0.0
2020-02-15,BR,5.0,4.0,-5.0,8.0,6.0,0.0
2020-02-15,BS,1.0,-3.0,13.0,11.0,0.0,-1.0
2020-02-15,BW,0.0,-8.0,-5.0,-16.0,7.0,1.0
2020-02-15,BY,10.0,9.0,21.0,11.0,4.0,-1.0
2020-02-15,BZ,10.0,4.0,18.0,19.0,4.0,-2.0
2020-02-15,CA,4.0,2.0,10.0,3.0,1.0,0.0
2020-02-15,CA_AB,7.0,3.0,24.0,7.0,-2.0,-1.0
2020-02-15,CA_BC,1.0,0.0,-4.0,2.0,-4.0,0.0
2020-02-15,CA_MB,5.0,2.0,20.0,1.0,1.0,0.0
2020-02-15,CA_NB,-3.0,-7.0,-13.0,11.0,-3.0,1.0
2020-02-15,CA_NL,-1.0,-2.0,-16.0,-1.0,-1.0,1.0
2020-02-15,CA_NS,-1.0,-6.0,-10.0,4.0,-1.0,0.0
2020-02-15,CA_NT,1.0,-4.0,,,-2.0,
2020-02-15,CA_NU,-7.0,,,,,
2020-02-15,CA_ON,2.0,3.0,20.0,5.0,1.0,-1.0
2020-02-15,CA_PE,-5.0,-8.0,,,-7.0,
2020-02-15,CA_QC,4.0,0.0,20.0,5.0,2.0,1.0
2020-02-15,CA_SK,2.0,-1.0,-6.0,3.0,-2.0,0.0
2020-02-15,CA_YT,12.0,7.0,,,,
2020-02-15,CH,-1.0,-1.0,31.0,6.0,-2.0,-1.0
2020-02-15,CH_AG,1.0,1.0,27.0,10.0,-1.0,-1.0
2020-02-15,CH_AR,8.0,5.0,,12.0,8.0,
2020-02-15,CH_BL,2.0,-1.0,,12.0,3.0,-1.0
2020-02-15,CH_FR,3.0,-3.0,20.0,13.0,-1.0,-1.0
2020-02-15,CH_GE,-8.0,-5.0,38.0,-6.0,-7.0,-2.0
2020-02-15,CH_GL,18.0,10.0,,16.0,2.0,
2020-02-15,CH_GR,15.0,8.0,37.0,27.0,1.0,-1.0
2020-02-15,CH_JU,-3.0,0.0,,-4.0,-2.0,
2020-02-15,CH_LU,-2.0,-2.0,44.0,8.0,-3.0,-2.0
2020-02-15,CH_NE,0.0,0.0,,15.0,-3.0,-1.0
2020-02-15,CH_NW,2.0,1.0,,23.0,7.0,
2020-02-15,CH_OW,-3.0,10.0,,28.0,0.0,
2020-02-15,CH_SG,7.0,2.0,61.0,22.0,1.0,-1.0
2020-02-15,CH_SH,18.0,1.0,,13.0,9.0,
2020-02-15,CH_SO,-4.0,0.0,35.0,10.0,-5.0,-1.0
2020-02-15,CH_SZ,3.0,1.0,,23.0,-2.0,
2020-02-15,CH_TG,10.0,4.0,54.0,15.0,5.0,0.0
2020-02-15,CH_TI,1.0,-1.0,32.0,16.0,-2.0,-1.0
2020-02-15,CH_UR,1.0,8.0,,6.0,-2.0,
2020-02-15,CH_VD,-3.0,-3.0,33.0,6.0,-5.0,-1.0
2020-02-15,CH_VS,13.0,10.0,23.0,27.0,1.0,-1.0
2020-02-15,CI,3.0,0.0,12.0,3.0,-1.0,-1.0
2020-02-15,CL,2.0,4.0,9.0,0.0,-3.0,0.0
2020-02-15,CL_AI,3.0,6.0,0.0,13.0,-1.0,
2020-02-15,CL_AN,2.0,-1.0,2.0,-2.0,-1.0,0.0
2020-02-15,CL_AP,-1.0,-3.0,3.0,7.0,-5.0,0.0
2020-02-15,CL_AT,3.0,4.0,12.0,13.0,-2.0,0.0
2020-02-15,CL_CO,22.0,17.0,37.0,18.0,-2.0,-1.0
2020-02-15,CL_LI,5.0,4.0,19.0,6.0,0.0,0.0
2020-02-15,CL_LL,14.0,13.0,13.0,13.0,-2.0,1.0
2020-02-15,CL_LR,29.0,20.0,32.0,23.0,-1.0,1.0
2020-02-15,CL_ML,6.0,9.0,20.0,20.0,-4.0,0.0
2020-02-15,CL_NB,8.0,13.0,19.0,18.0,-16.0,2.0
2020-02-15,CL_TA,5.0,-1.0,11.0,6.0,-1.0,1.0
2020-02-15,CL_VS,11.0,9.0,16.0,9.0,-2.0,-1.0
2020-02-15,CM,-1.0,1.0,4.0,1.0,2.0,1.0
2020-02-15,CO,4.0,5.0,-5.0,1.0,7.0,1.0
2020-02-15,CO_ANT,6.0,4.0,-3.0,6.0,7.0,0.0
2020-02-15,CO_ARA,-57.0,-48.0,-48.0,-43.0,-29.0,
2020-02-15,CO_CAL,-7.0,-8.0,-11.0,-21.0,5.0,1.0
